tipo_propiedad,localidad,sup_total,sup_cubierta,precio_m2,ambientes,ratio_sup,amenities,cochera,precio_m2_Media,precio_m2_Mediana,ratio_price_Media,ratio_price_Mediana,sup_cub_exp2,sup_ambientes,pond
apartment,Villa Crespo,42.0,39.0,1890.0,1.0,1.0769230769230769,0,0,2866.1,2800.0,0.9906170100074005,1.033210332103321,1521.0,39.0,179899.13060991582
apartment,Villa Crespo,44.0,41.0,1760.0,1.0,1.0731707317073171,0,0,2866.1,2800.0,0.9906170100074005,1.033210332103321,1681.0,41.0,179899.13060991582
apartment,Las Cañitas,68.0,48.0,4900.0,2.0,1.4166666666666667,0,0,3885.2,3640.0,1.3428509847111938,1.3431734317343174,2304.0,24.0,395238.38994998496
apartment,Belgrano,57.0,54.0,4440.0,2.0,1.0555555555555556,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,2916.0,27.0,305347.5016573796
apartment,Belgrano,160.0,150.0,3670.0,4.0,1.0666666666666667,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,22500.0,37.5,305347.5016573796
apartment,Villa Crespo,33.0,31.0,2000.0,1.0,1.064516129032258,0,0,2866.1,2800.0,0.9906170100074005,1.033210332103321,961.0,31.0,179899.13060991582
apartment,Belgrano,310.0,60.0,3670.0,6.0,1.0333333333333334,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,3600.0,10.0,305347.5016573796
apartment,Belgrano,69.0,53.0,4490.0,2.0,1.3018867924528301,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,2809.0,26.5,305347.5016573796
apartment,Belgrano,69.0,53.0,4490.0,2.0,1.3018867924528301,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,2809.0,26.5,305347.5016573796
apartment,Flores,65.0,62.0,1600.0,3.0,1.0483870967741935,0,0,2273.3,2270.0,0.7857261256933895,0.8376383763837638,3844.0,20.666666666666668,95858.92230193263
apartment,Nuñez,66.0,59.0,3880.0,2.0,1.11864406779661,0,0,3448.0,3310.0,1.1917405012056512,1.2214022140221403,3481.0,29.5,297193.2572311059
apartment,Nuñez,45.0,39.0,3460.0,1.0,1.1538461538461537,0,0,3448.0,3310.0,1.1917405012056512,1.2214022140221403,1521.0,39.0,297193.2572311059
apartment,Recoleta,191.0,181.0,3430.0,5.0,1.0552486187845305,0,0,3546.9,3310.0,1.2259235451642472,1.2214022140221403,32761.0,36.2,297193.2572311059
apartment,Belgrano,33.0,33.0,2810.0,1.0,1.0,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,1089.0,33.0,305347.5016573796
apartment,Caballito,158.0,154.0,2890.0,5.0,1.025974025974026,0,0,2757.4,2700.0,0.9530467685685797,0.996309963099631,23716.0,30.8,161304.4181757913
PH,Almagro,85.0,85.0,1940.0,4.0,1.3228168131311444,0,0,2195.3,2185.0,0.758766798809967,0.8062730627306273,7225.0,21.25,85488.81446505709
apartment,Palermo,39.0,35.0,4210.0,1.0,1.1142857142857143,0,0,3651.1,3380.0,1.261938440821332,1.2472324723247232,1225.0,35.0,316449.97912540694
apartment,Puerto Madero,109.0,99.0,5560.0,4.0,1.101010101010101,0,0,5896.3,5810.0,2.0379522961887706,2.143911439114391,9801.0,24.75,1607249.753032061
apartment,Constitución,90.0,82.0,1080.0,3.0,1.0975609756097562,0,0,1973.0,2035.0,0.6819327171922128,0.7509225092250923,6724.0,27.333333333333332,69063.44075804931
apartment,Puerto Madero,198.0,185.0,6460.0,4.0,1.0702702702702702,0,0,5896.3,5810.0,2.0379522961887706,2.143911439114391,34225.0,46.25,1607249.753032061
apartment,Belgrano,128.0,120.0,2830.0,4.0,1.0666666666666667,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,14400.0,30.0,305347.5016573796
PH,Mataderos,28.0,28.0,1890.0,1.0,1.3355701652567655,0,0,1893.1,1855.0,0.6543166887565018,0.6845018450184502,784.0,28.0,52310.23997619614
apartment,Recoleta,33.0,33.0,3640.0,1.0,1.0,0,0,3546.9,3310.0,1.2259235451642472,1.2214022140221403,1089.0,33.0,297193.2572311059
apartment,Palermo,175.0,175.0,2510.0,4.0,1.0,0,0,3651.1,3380.0,1.261938440821332,1.2472324723247232,30625.0,43.75,316449.97912540694
apartment,Colegiales,126.0,120.0,1980.0,4.0,1.05,0,0,2920.5,2800.0,1.009419412346608,1.033210332103321,14400.0,30.0,179899.13060991582
apartment,Villa Urquiza,127.0,123.0,2170.0,4.0,1.032520325203252,0,0,2906.7,2900.0,1.0046496852826179,1.070110701107011,15129.0,30.75,199870.62210483034
apartment,Villa Crespo,120.0,114.0,2680.0,4.0,1.0526315789473684,0,0,2866.1,2800.0,0.9906170100074005,1.033210332103321,12996.0,28.5,179899.13060991582
apartment,Barrio Norte,37.0,37.0,2650.0,3.0,1.0,0,0,3329.3,3050.0,1.1507139358074172,1.1254612546125462,1369.0,12.333333333333334,232516.8809503079
apartment,Palermo Hollywood,47.0,41.0,3290.0,2.0,1.146341463414634,0,0,3701.9,3410.0,1.279496566535151,1.2583025830258303,1681.0,20.5,324951.171875
apartment,Saavedra,38.0,32.0,2970.0,1.0,1.1875,0,0,2895.2,2840.0,1.0006749127292927,1.047970479704797,1024.0,32.0,187719.76016246525
apartment,Saavedra,71.0,67.0,2700.0,3.0,1.0597014925373134,0,0,2895.2,2840.0,1.0006749127292927,1.047970479704797,4489.0,22.333333333333332,187719.76016246525
apartment,Palermo,153.0,153.0,5030.0,4.0,1.0,0,0,3651.1,3380.0,1.261938440821332,1.2472324723247232,23409.0,38.25,316449.97912540694
apartment,Parque Chas,42.0,42.0,2520.0,1.0,1.0,0,0,2529.1,2520.0,0.8741388925751776,0.9298892988929889,1764.0,42.0,131146.46621462857
apartment,Barracas,128.0,128.0,2300.0,4.0,1.0,0,0,2344.8,2160.0,0.8104388420031935,0.7970479704797048,16384.0,32.0,82587.86210600517
apartment,Paternal,27.0,27.0,2310.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
apartment,Paternal,27.0,27.0,2340.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
apartment,Paternal,27.0,27.0,2370.0,1.0,1.0,0,0,2187.9,2285.0,0.7562091190800013,0.8431734317343174,729.0,27.0,97771.79392902063
